Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,44,16,7,5000,0.36,0.7,1,10000,22,96,1769.214959,11065.09193,12884.95683,776.098836,3509159736,3509159736,0.90144,,,
NeuRoute,123,17,6,6000,0.36,0.5,1,10000,22,96,1408.59197,12637.30782,14098.96533,709.271905,4015757808,4015757808,0.90135,,,
NeuRoute,54,16,7,7000,0.25,0.5,1,10000,22,96,1040.488255,12919.24029,14005.20137,714.020437,4180298622,4180298622,0.90101,,,
NeuRoute,27,16,6,8000,0.25,0.5,1,10000,22,96,976.104314,14155.35716,15179.84173,658.768397,4614319152,4614319152,0.9008,,,
NeuRoute,41,16,7,5000,0.3,0.7,1,10000,22,96,1500.756024,10331.99857,11875.70924,842.054971,3309407829,3309407829,0.9005,,,
NeuRoute,43,16,7,5000,0.36,0.6,1,10000,22,96,1633.398953,11114.86145,12799.82491,781.260687,3513129193,3513129193,0.90048,,,
NeuRoute,116,17,6,5000,0.36,0.7,1,10000,22,96,1698.447676,10920.24055,12667.20134,789.440361,3459516323,3459516323,0.90048,,,
NeuRoute,48,16,7,6000,0.3,0.5,1,10000,22,96,1243.829649,11995.79682,13286.72134,752.631123,3857562950,3857562950,0.90045,,,
NeuRoute,126,17,6,7000,0.25,0.5,1,10000,22,96,1017.177098,13022.57918,14085.21759,709.964183,4180794136,4180794136,0.9,,,
NeuRoute,113,17,6,5000,0.3,0.7,1,10000,22,96,1452.519513,10350.82875,11845.6662,844.190595,3290519087,3290519087,0.89982,,,
NeuRoute,115,17,6,5000,0.36,0.6,1,10000,22,96,1565.671691,10824.58655,12439.20844,803.909674,3463354304,3463354304,0.89958,,,
NeuRoute,11,16,6,6000,0.25,0.7,1,10000,22,96,1136.250817,11358.76418,12536.3524,797.680193,3648067125,3648067125,0.89951,,,
NeuRoute,120,17,6,6000,0.3,0.5,1,10000,22,96,1200.887692,11948.66327,13195.21687,757.850371,3840441061,3840441061,0.89945,,,
NeuRoute,40,16,7,5000,0.3,0.6,1,10000,22,96,1390.14571,10357.27879,11790.2753,848.156616,3312483080,3312483080,0.8993,,,
NeuRoute,20,16,7,5000,0.36,0.7,1,10000,22,96,1561.242788,10796.29894,12406.51349,806.028221,3450075393,3450075393,0.89891,,,
NeuRoute,20,16,7,5000,0.36,0.7,1,10000,22,96,1559.006942,10869.49492,12479.09436,801.340202,3450075393,3450075393,0.89891,,,
NeuRoute,112,17,6,5000,0.3,0.6,1,10000,22,96,1349.69703,10315.45758,11707.39065,854.161298,3293465248,3293465248,0.89881,,,
NeuRoute,10,16,6,6000,0.25,0.6,1,10000,22,96,1071.340285,11302.78936,12415.19878,805.464349,3649983212,3649983212,0.89836,,,
