Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50
NeuRoute,50,15,6,3000,0.29,0.7,1,10000,20,128,242.958553,1498.792136,1766.459598,5661.040882,1247280478,1247280478,0.91444
NeuRoute,50,15,6,3000,0.29,0.7,1,10000,20,128,242.958553,1498.792136,1766.459598,5661.040882,1247280478,1247280478,0.91444
NeuRoute,0,16,5,3000,0.41,0.7,1,10000,20,128,300.305285,1703.259274,2033.351153,4917.989687,1406319088,1406319088,0.91412
NeuRoute,4,16,5,5000,0.29,0.7,1,10000,20,128,240.274867,2316.402491,2589.559794,3861.660203,1989493437,1989493437,0.91017
NeuRoute,0,16,5,4500,0.29,0.7,1,10000,20,128,244.545619,2204.566414,2481.264935,4030.202442,1879900481,1879900481,0.90967
NeuRoute,7,16,5,5000,0.41,0.5,1,10000,20,128,261.675452,2384.250711,2681.720242,3728.94974,2009394077,2009394077,0.90945
NeuRoute,13,16,6,5000,0.29,0.5,1,10000,20,128,251.973527,2114.802172,2398.9278,4168.528957,1798902601,1798902601,0.90927
NeuRoute,100,14,6,2000,0.41,0.7,1,10000,20,128,285.610556,1328.320452,1638.768218,6102.144214,1088572022,1088572022,0.90898
NeuRoute,100,14,6,2000,0.41,0.7,1,10000,20,128,285.610556,1328.320452,1638.768218,6102.144214,1088572022,1088572022,0.90898
NeuRoute,160,15,5,3000,0.41,0.7,1,10000,20,128,262.443417,1625.223035,1914.383657,5223.613336,1345703474,1345703474,0.90872
NeuRoute,160,15,5,3000,0.41,0.7,1,10000,20,128,262.443417,1625.223035,1914.383657,5223.613336,1345703474,1345703474,0.90872
NeuRoute,9,16,6,4500,0.29,0.5,1,10000,20,128,253.010176,2000.286294,2283.93199,4378.414088,1697040170,1697040170,0.90867
NeuRoute,3,16,5,4500,0.41,0.5,1,10000,20,128,263.777775,2249.14268,2547.874275,3924.840444,1895334954,1895334954,0.90866
NeuRoute,104,14,6,3000,0.29,0.7,1,10000,20,128,215.721572,1435.361777,1674.210221,5972.965566,1205191423,1205191423,0.90624
NeuRoute,104,14,6,3000,0.29,0.7,1,10000,20,128,215.721572,1435.361777,1674.210221,5972.965566,1205191423,1205191423,0.90624
NeuRoute,21,15,6,5000,0.29,0.5,1,10000,20,128,228.244775,2046.967909,2306.432944,4335.69943,1755027830,1755027830,0.90436
NeuRoute,17,15,6,4500,0.29,0.5,1,10000,20,128,230.423512,1943.194754,2204.339106,4536.507098,1659127420,1659127420,0.90382
NeuRoute,15,16,6,5000,0.41,0.5,1,10000,20,128,265.713685,1958.281995,2260.319618,4424.15308,1608584408,1608584408,0.9032
NeuRoute,44,15,6,2000,0.29,0.7,1,10000,20,128,237.453931,1174.840083,1434.563536,6970.761315,975462277,975462277,0.90309
NeuRoute,44,15,6,2000,0.29,0.7,1,10000,20,128,237.453931,1174.840083,1434.563536,6970.761315,975462277,975462277,0.90309
NeuRoute,11,16,6,4500,0.41,0.5,1,10000,20,128,269.504845,1892.186202,2197.13596,4551.379697,1554623956,1554623956,0.90264
NeuRoute,11,16,6,4000,0.41,0.5,1,10000,20,128,267.966612,1828.084388,2130.257415,4694.268369,1492687330,1492687330,0.90185
NeuRoute,4,16,5,5000,0.29,0.7,1,10000,20,128,205.013057,1764.582893,1997.268569,5006.837916,1497680136,1497680136,0.90178
NeuRoute,0,16,5,4500,0.29,0.7,1,10000,20,128,206.202895,1702.712816,1936.449198,5164.091064,1447156697,1447156697,0.90141
NeuRoute,9,16,6,3500,0.41,0.5,1,10000,20,128,268.976341,1743.224118,2045.424196,4888.961429,1420934928,1420934928,0.90059
NeuRoute,7,16,6,3000,0.41,0.5,1,10000,20,128,268.663192,1643.964199,1945.199473,5140.860944,1338506882,1338506882,0.89853
NeuRoute,23,15,6,5000,0.41,0.5,1,10000,20,128,230.223736,1817.295229,2080.388837,4806.793722,1507299309,1507299309,0.89852
NeuRoute,154,15,5,2000,0.41,0.7,1,10000,20,128,252.748675,1266.878233,1542.944409,6481.114901,1047712244,1047712244,0.898
NeuRoute,154,15,5,2000,0.41,0.7,1,10000,20,128,252.748675,1266.878233,1542.944409,6481.114901,1047712244,1047712244,0.898
NeuRoute,19,15,6,4500,0.41,0.5,1,10000,20,128,232.8528,1751.287982,2022.840387,4943.543774,1457729388,1457729388,0.89791
NeuRoute,17,15,6,4000,0.41,0.5,1,10000,20,128,233.379832,1692.117993,1957.19464,5109.353866,1399434760,1399434760,0.8972
NeuRoute,15,15,6,3500,0.41,0.5,1,10000,20,128,234.609334,1616.591685,1882.124591,5313.144543,1331943482,1331943482,0.89615
NeuRoute,98,14,6,2000,0.29,0.7,1,10000,20,128,212.96092,1131.928993,1365.68981,7322.306959,947041528,947041528,0.89607
