Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,dataset
NeuRoute,65,15,6,50,0.25,0.7,1,10000,20,96,35.560656,510.060058,562.380885,17781.5432,146663099,146663099,0.36437,deep1b100M
NeuRoute,66,15,6,50,0.3,0.5,1,10000,20,96,44.738026,802.449877,867.459718,11527.91282,231180376,231180376,0.36703,deep1b100M
NeuRoute,67,15,6,50,0.3,0.6,1,10000,20,96,44.396644,801.427415,866.582377,11539.58385,231184666,231184666,0.37022,deep1b100M
NeuRoute,68,15,6,50,0.3,0.7,1,10000,20,96,44.418245,799.683775,864.61624,11565.82486,231187998,231187998,0.37146,deep1b100M
NeuRoute,69,15,6,50,0.39,0.5,1,10000,20,96,58.793981,1338.356143,1425.30371,7016.04853,386888423,386888423,0.37903,deep1b100M
NeuRoute,70,15,6,50,0.39,0.6,1,10000,20,96,59.293589,1324.173701,1411.329088,7085.51966,386888455,386888455,0.38179,deep1b100M
NeuRoute,71,15,6,50,0.39,0.7,1,10000,20,96,59.372939,1367.565054,1454.53825,6875.034053,386893405,386893405,0.38294,deep1b100M
NeuRoute,72,15,6,100,0.25,0.5,1,10000,20,96,41.712386,591.349955,650.091457,15382.45103,176119111,176119111,0.45164,deep1b100M
NeuRoute,73,15,6,100,0.25,0.6,1,10000,20,96,41.868059,599.481958,658.09579,15195.35629,176110098,176110098,0.45728,deep1b100M
NeuRoute,74,15,6,100,0.25,0.7,1,10000,20,96,42.230871,593.760819,652.605544,15323.19192,176101849,176101849,0.45944,deep1b100M
NeuRoute,75,15,6,100,0.3,0.5,1,10000,20,96,51.080534,887.253493,959.034787,10427.15044,260597148,260597148,0.46289,deep1b100M
NeuRoute,76,15,6,100,0.3,0.6,1,10000,20,96,51.476599,888.383317,960.025911,10416.38552,260592335,260592335,0.46843,deep1b100M
NeuRoute,77,15,6,100,0.3,0.7,1,10000,20,96,51.586546,905.854705,978.032726,10224.60674,260577725,260577725,0.47077,deep1b100M
NeuRoute,78,15,6,100,0.39,0.5,1,10000,20,96,67.624186,1377.940917,1472.957078,6789.064087,416225668,416225668,0.48171,deep1b100M
