Method,dataset,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,20.471659,6068.607523,6312.2101,1584.231171,127962844,127962844,0.8232,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,18.878013,5535.442433,5776.934922,1731.02175,118631663,118631663,0.82286,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,16.979533,5113.117946,5353.836188,1867.819569,110269824,110269824,0.82086,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,16.31934,4969.996928,5208.238082,1920.035114,104871966,104871966,0.82058,,,
NeuRoute,img1536,13,5,100,0.09,0.7,1,10000,16,1536,19.053954,5016.017686,5261.565131,1900.575162,104280682,104280682,0.81004,,,
NeuRoute,img1536,12,5,100,0.09,0.7,1,10000,16,1536,17.404842,4522.907135,4763.997959,2099.077306,94963639,94963639,0.80972,,,
NeuRoute,img1536,13,5,100,0.09,0.7,1,10000,16,1536,19.232699,4933.733098,5175.094421,1932.331893,104268667,104268667,0.80908,,,
NeuRoute,img1536,13,5,100,0.09,0.7,1,10000,16,1536,19.232699,4933.733098,5175.094421,1932.331893,104268667,104268667,0.80908,,,
NeuRoute,img1536,12,5,100,0.09,0.7,1,10000,16,1536,17.291829,4472.868081,4711.793662,2122.334023,94952615,94952615,0.80878,,,
NeuRoute,img1536,12,5,100,0.09,0.7,1,10000,16,1536,17.291829,4472.868081,4711.793662,2122.334023,94952615,94952615,0.80878,,,
NeuRoute,img1536,13,4,100,0.09,0.7,1,10000,16,1536,16.229231,4037.94557,4281.173342,2335.808247,86622339,86622339,0.8083,,,
NeuRoute,img1536,12,4,100,0.09,0.7,1,10000,16,1536,15.490983,3840.672962,4078.236061,2452.040502,81238735,81238735,0.80807,,,
NeuRoute,img1536,13,5,100,0.09,0.6,1,10000,16,1536,19.291831,5003.988814,5245.588755,1906.363702,104283539,104283539,0.8078,,,
NeuRoute,img1536,13,5,100,0.09,0.6,1,10000,16,1536,19.291831,5003.988814,5245.588755,1906.363702,104283539,104283539,0.8078,,,
NeuRoute,img1536,13,5,100,0.09,0.6,1,10000,16,1536,18.899503,5011.4151,5252.39241,1903.894306,104300403,104300403,0.80776,,,
NeuRoute,img1536,12,5,100,0.09,0.6,1,10000,16,1536,17.162827,4496.486469,4734.847879,2112.00027,94967067,94967067,0.8075,,,
NeuRoute,img1536,12,5,100,0.09,0.6,1,10000,16,1536,17.162827,4496.486469,4734.847879,2112.00027,94967067,94967067,0.8075,,,
NeuRoute,img1536,12,5,100,0.09,0.6,1,10000,16,1536,17.610038,4495.157478,4737.178661,2110.961126,94983048,94983048,0.80744,,,
NeuRoute,img1536,13,4,100,0.09,0.7,1,10000,16,1536,16.074801,4132.676816,4370.149074,2288.25146,86614339,86614339,0.80729,,,
NeuRoute,img1536,13,4,100,0.09,0.7,1,10000,16,1536,16.074801,4132.676816,4370.149074,2288.25146,86614339,86614339,0.80729,,,
NeuRoute,img1536,12,4,100,0.09,0.7,1,10000,16,1536,15.185188,3860.346587,4097.198878,2440.691872,81232273,81232273,0.80708,,,
NeuRoute,img1536,12,4,100,0.09,0.7,1,10000,16,1536,15.185188,3860.346587,4097.198878,2440.691872,81232273,81232273,0.80708,,,
